Question,Answer
"The Rosenbach Museum & Library in Philadelphia houses his original manuscript of ""Ulysses""",James Joyce
"Earl Anthony rolled on to a record 41 titles in this sport, Mark Roth is second",Bowling
"""Father of the A-Bomb"" who recalled the Hindu line ""I am become death"" after the first atomic explosion",J. Robert Oppenheimer
"Pius XII previously held this Vatican office that, like its U.S. cabinet counterpart, requires travel",Secretary of State
"She fled her rich Assisi family to found an order of ""poor"" nuns",Saint Clare
"Napoleon's plans to invade England were dashed by this October 21, 1805 battle",Battle of Trafalgar
A statue of King Kamehameha I stands guard outside the judiciary building in this capital city,Honolulu
"Livestock successfully stage rebellion, pigs end up blowing it for everyone","""Animal Farm"""
The appendage seen here gives this variety of snake its name,rattlesnake
"A1, Take That & the Spice Girls are all musical acts from this country",Great Britain
This hot dog condiment is basically chopped sweet pickles,relish
"Headgear for a king, or part of a tooth",crown
From 1701 to 1875 New Haven & this city were twin capitals of Connecticut; today it's the only one,Hartford
"Title guy shipwrecks, ends up on 28-year island getaway, makes a friend, goes home","""Robinson Crusoe"""
Snakes are found naturally on every continent except this one,Antarctica
"Of King Ad Rock, Thugmuffin C, MCA or Mike D, the one who's not a member of the Beastie Boys",Thugmuffin C
"The ""Kid' seen here represents these snacks",Twinkies
"It ""goes before a fall"" & before ""Prejudice"" in a Jane Austen title",pride
The capitol building in this city was designed by Thomas Jefferson,Richmond
"2 guys dream of owning a farm, one kills the boss' daughter-in-law, then his pal kills him","""Of Mice and Men"""
"There are king & Asian species of this ""charming"" snake seen here",cobra
"In 1998 Will Smith was ""Gettin'"" to the No. 1 spot on the charts with this song","""Gettin' Jiggy Wit It"""
"Chicken chunks & chopped veggies in a rich sauce topped with a pastry crust are baked in this ""pie""",chicken pot pie
It's the zodiac sign symbolized by a ram,Aries
"The French called a land formation La Petite Roche, thus giving this capital its name",Little Rock
"Frenchman swipes some bread, gets 19 years, gets out, gets pursued by a cop who dies","""Les Miserables"""
This highly venomous snake of the eastern U.S. has red & black bands separated by yellow ones,coral snake
"That ""Fly"" band Sugar Ray is led by this heartthrob lead singer",Mark McGrath
"Part of a British breakfast, this jam is made from bitter Seville oranges, including the rinds",marmalade
Soup's on! & we need this long-handled spoon or scoop to serve it,ladle
This state capital is in the Green Mountains along the Winooski River,Montpelier
"Con man checks into mental hospital to avoid prison farm, meets nasty nurse, doesn't check out","""One Flew Over the Cuckoo's Nest"""
"The name of this deadly mottled brown snake of the tropics is from the French for ""lance head""",fer-de-lance
"Known for '80s hits like ""The Reflex"" & ""Hungry Like the Wolf"", this band charted in the '90s with ""Come Undone""",Duran Duran
The French have Catherine de Medici to thank for introducing this sprouting Italian veggie to them,broccoli
"It can be an object from the past, or a personal item associated with a saint",relic
He was the only U.S. president to die in the 18th century,George Washington
[clue missing because of technical glitch],Anne Frank
"Like voters in the USA, young women seeking to compete in the Miss Thailand contest must be at least this age",18
Not even a wheelchair & voice synthesizer can stop him from unlocking the secrets of the universe,Stephen Hawking
Chicago's United Center & Salt Lake City's Delta Center are named for this type of business,airlines
An informal talk about flying mammals,bat chat
This former general was the first Republican to serve 2 full terms as president,Ulysses S. Grant
Brooke Shields & Lucy Lawless played Rizzo in the '90s revival of this rockin' high school musical,Grease
The 100-member Asian Youth Orchestra recently played to rave reviews in this South Korean capital,Seoul
In 1610 this Italian made his biggest discovery: the 4 largest moons of Jupiter,Galileo
This Disney-owned baseball team plays at Anaheim's Edison International Field,Anaheim Angels
Small vessel for shipping a nanny or a billy,goat boat
This Mexican War hero & winning 1848 candidate had never voted for president before,Zachary Taylor
"R&B sensation Stephanie Mills was a teenager when she eased on down the road in this role in ""The Wiz""",Dorothy
"Young actors like Rani Mukherjee perform in movies in ""Bollywood"" in this populous Asian country",India
"This ""Father of Genetics"" is the subject of the biography ""The Monk in the Garden""",Gregor Mendel
This team that won a championship in 2001 plays in PSINet Stadiun,Baltimore Ravens
A fake small horse,phony pony
In 1950 he threatened a music critic who had unkind words for daughter Margaret's singing,Harry S. Truman
"The Jets & the Sharks are teenage gangs in this 1957 musical that features the song ""Tonight""",West Side Story
"With songs like ""Fly Away"", rock star Cui Jian is one of the leading pop musicians from this Asian country",China
"At the Pantheon in Paris in 1851, he demonstrated the Earth's rotation using his famous pendulum",Michel Foucault
"Now that this city's Civic Arena is the Mellon Arena, its citizens can be full of Mellon pride",Pittsburgh
The $1.99 lamb as opposed to the $19.99 one,cheap sheep
"His 1791 marriage to Rachel Robards was invalid, so they had to do it all over again on January 17, 1794",Andrew Jackson
"Zaneeta Shinn, a character in this musical, is the teenage daughter of the mayor of River City",The Music Man
"With a 6-wicket victory over Nepal, Bangladesh recently retained the Asian youth championship in this sport",cricket
He was doing research on influenza when he accidentally discovered penicillin,Alexander Fleming
3-letter corporate name that's on the Indianapolis venue seen here,RCA Dome
An 18-wheeler used to get your porkers to market,pig rig
One of 2 landlocked countries in South America,(1 of 2) Bolivia or Paraguay
This lieutenant colonel recruited some of his Rough Riders at William Menger's hotel in San Antonio,Theodore Roosevelt
"The prime time spellcaster wasn't Sabrina, but Samantha in this series",Bewitched
"It includes the postcentral gyrus, the precentral gyrus, the parietal lobe & the occipital lobe",Brain/skull
"The May beetle is also called this, perhaps when it shows up a few weeks late",Junebug
The Los Angeles Lakers retired his No. 32 jersey,"Earvin ""Magic"" Johnson"
Disgruntled Disney dwarf (6),Grumpy
"In Old West talk, ""fit"" was the past tense of this",Fight
"Alphabetically, he's Santa's first reindeer",Blitzen
The katydid is also called the long-horned (meaning long-antennaed) one of these,Grasshopper
"It begins ""Blessed is he whose transgression is forgiven""",32nd Psalm
"Thank You, in Tampico (7)",Gracias
"This hat maker traveled west, saw a need & returned in 1865 to make his famous hat in Philadelphia",John Stetson
The Span. abbrev. for one of these is ovni (objecto volador no identificado),UFO
Its shape allows it to hide among twigs,Walking stick
"Before a crowd of almost 70,000, this team won Super Bowl XXXII January 25, 1998",the Denver Broncos
"A source of rumors, or of Riesling (9)",Grapevine
"He tried to help the town of Dolores, N.M. in 1900 by using static electricity to extract gold out of gravel",Thomas Edison
"Over 14 times the mass of the Earth, this planet is seventh from the sun",Uranus
"This fly that you might find ""in distress"" resembles a dragonfly but folds its wings back at rest",Damselfly
"On May 11, 1858 this ""North Star"" state became U.S. state No. 32",Minnesota
"You throw it down, or run it (8)",Gauntlet
"Ogden, now this state's sixth-largest city, was named for an Old West fur trapper",Utah
"A patron of wisdom & good fortune, the Hindu god Ganesha bears the head of this animal",Elephant
Because of its colors the butterfly seen here is named after this beast (orange & black colors),Tiger butterfly
The 32nd Academy Award for Best Picture went to this 1959 epic,Ben-Hur
"""Cheesy"" Dutch city (5)",Gouda
"On July 4, 1803 Thomas Jefferson supplied this pair with a general letter of credit to use on their trip",Lewis & Clark
"We'll never tire of telling you its symbol is GR, not B.F.",Goodrich
Mythic Sumerian hero Utnapishtim built a big boat & survived this catastrophe,The flood
"1997's ""Calling All Stations"" was their first album since Phil Collins left the group",Genesis
Grover Cleveland Alexander was inducted into this sport's Hall of Fame in 1938 & interred in Nebraska in 1950,Baseball
"It refers to the behavior of teenagers, or of immature adults",Adolescent
Speke stopped speaking to Burton after their trip to find the source of this river,Nile
"The annual report of this company, PRD, is as pretty as an instant picture",Polaroid
"Hammurabi was famous for his, but Ur-Nammu enforced one of these centuries earlier",Code of law
"In 1990 Roger Waters of this group gave a performance of ""The Wall"" at the former site of the Berlin Wall",Pink Floyd
"Many ""Our Fathers"" must have been said when he died May 15, 1948 & was interred in Boys Town",Father Flanagan
"Fatty, like some ""tissue""",Adipose
"A book by Thomas James, who searched for the Northwest Passage, inspired this Coleridge poem","""The Rime of the Ancient Mariner"""
"Add ""YBOY"" to this 3-letter symbol to get the full name of a big media company",PLA
Sumerians scratched this writing system into stone & wax in addition to clay tablets,Cuneiform
"In 1998 this group seen here reunited for a VH1 special & a concert tour (""I'll Tumble 4 Ya"")",Culture Club
"Though he starred in ""Oklahoma!"" this husband of Sheila is buried in Nebraska",Gordon MacRae
"It means ""sufficient or good enough"" & can imply ""but just barely""",Adequate
Hillary said this man left some offerings to the gods of Chomolungma atop Everest in 1953,Tenzing Norgay
"In the mall you may fall into this store, GPS",The Gap
These Sumerian pyramids were topped by temples,Ziggurats
In 1995 this founder of Cream & Derek & the Dominos was named an Officer of the British Empire,Eric Clapton
"Long-time Nebraska senator George Norris, who helped create this project, the TVA, is buried in McCook",Tennessee Valley Authority
"Unfavorable, like some circumstances, or the last name of Anthony in a 1933 novel",Adverse
"In 1828 Rene Caille reached this remote African city, ""an object of curiosity"" to Europeans",Timbuktu
"You don't need a Visa to visit this bank's stock symbol, CMB",Chase Manhattan Bank
"(Hi, I'm Graham Nash)  As a member of this group in the 1960s, I co-wrote their hits ""Carrie-Anne"" & ""Stop, Stop, Stop""",The Hollies
Latin term for a type of argument based on emotion or on another person's character,Ad hominem
"Today meaning a self-employed person, this term derives from medieval knights who sold their skills",Freelancer
The ancient Ban Chiang poetry of Thailand resembles that of this country's neolithic Yang-Shao period,China
In the 1750s the original golf course here had 11 holes & you played each of them twice,St. Andrews
"Known as Wandermeisen in German, these conspicuously mobile ants move about in long, orderly columns",army ants
Add this letter to Earth & you get a scarcity,D (dearth)
One man who had this name discovered Lake Tanganyika; the other played Becket & Trotsky on film,Richard Burton
...son born to Barbara Bush,Jeb (Bush)
"Ancient Greeks believed that wine was a gift from this god, the Greek equivalent of Bacchus",Dionysus
"(Sarah of the Clue Crew delivers the clue from Utah Olympic Park, with Cheryl and Jimmy pushing her in a bobsled.)  Begun in the 1800s, the first bobsleds didn't have these--a garden rake was used instead",brakes
The chigoe is a sand-dwelling variety of this insect,a flea
Add this letter to Mars & you get a fen,H (marsh)
In 1886 Richard Sears began selling pocket watches & in 1887 hired this man as his watch repairman,Roebuck
...franchise to win the Super Bowl,New York Jets
"Because of his work there, you could call the astronomer Hipparchus ""the colossus of"" this island",Rhodes
"By the time the British discovered this sport in India around 1860, it used a ball, no longer a goat's or enemy's head",polo
"The field & house types of this insect are sold as laboratory subjects, frog food & bait",crickets
Add this letter to Saturn's moon Titan & you get a Renaissance guy who liked to paint Venus,I (Titian)
Either of the 2 parents of Richard the Lion-Hearted,(1 of) Henry II & Eleanor of Aquitaine
...U.S. manned space program,the Gemini program
"Horrified by the carnage of war, Asoka, a 3rd century B.C. ruler in India, embraced this peaceful religion",Buddhism
(Cheryl of the Clue Crew slides a curling stone across the ice in the Utah Olympic Oval.)  Curling came to North America with Scottish soldiers who melted down these iron projectiles; today's stone is 40 pounds of polished granite,cannonballs
This garden pest controller is the state insect of Delaware & Massachusetts,ladybug
Add this letter to Jupiter's moon Io & you get an acronym that's a ground-floor stock offer for regular guys,P (IPO)
He shot the famous photo of Nastassja Kinski & the serpent,Richard Avedon
...to become Secretary of Homeland Security,Michael Chertoff
"Hetepheres was the mother of this Great Pyramid king; when her tomb was found, Mummy's mummy was missing",Cheops
The 18th century Broughton rules were intended to lessen the brutality of this sport,boxing
"Used by scientists to clean flesh off bones being prepared for research, dermestids are a type of this insect",a beetle
Add this letter to star & get something harsh or grim,K (stark)
"He was actually in prison when he wrote, ""Stone walls do not a prison make, nor iron bars a cage""",Richard Lovelace
...Sherlock Holmes novel published,The Sign of Four
"His second inaugural address began, ""At this last presidential inauguration of the twentieth century...""",Bill Clinton
Buenos Aires held back a sniffle when this Madonna hit went to No. 8 in 1997,"""Don't Cry For Me Argentina"""
"Beware Thornton Wilder's ""The Ides of March"" & this play where you'll find the phrase",Julius Caesar
Style.com stated that your spring 2006 wardrobe must include a baby-doll dress in the style of this decade,the '60s
Liberation & Le Petit Journal are leading ones of these in France,newspapers
You were a fool to move that bishop!  This 4-letter term in 3 moves,mate
"Subpoenaed for documents in Burr's treason trial, he cited executive privilege; didn't work",Thomas Jefferson
It was Elvis' third No. 1 hit of 1956,"""Don't Be Cruel"""
"Faulkner's ""The Sound and the Fury"" as well as Steinbeck's ""The Moon Is Down"" come from this play",Macbeth
"Of Elie Saab, Elie Saturn or Elie Subaru, the one who designed the gown Halle Berry wore when she won her Oscar",Elie Saab
"With its team led by Zinedine Zidane, France won this prestigious contest in July 1998",the World Cup
"In ""Jaws"", it's what Roy Scheider threw overboard to lure the shark",chum
"His will gave a total of $110,000 to grandchildren Alexander & Melanie Eisenhower & Christopher Cox",(Richard) Nixon
"No doubt you know this ""Tragic Kingdom"" tune was No. 1 for 16 weeks on the airplay chart in 1996 & '97","""Don't Speak"""
"Aldous Huxley's ""Brave New World"" comes from a speech of Miranda's in this play",The Tempest
"The sex-symbol look of films like ""La Dolce Vita"" has long insired Domenico Dolce & this partner",Gabana
"In 1992, 200 years after it was written, 40% of the French found it excessively bloody & 25% wanted it changed","the French National Anthem (""La Marseillaise"")"
"The first name of actress Sheedy, pronounced differently",ally
In November 1910 he was elected governor of New Jersey,Wilson
"Elton John saw the light of the Top 5 with this song twice, in 1974 & 1992","""Don't Let The Sun Go Down On Me"""
"This long-running Agatha Christie drama references the play-within-a-play in ""Hamlet""",The Mousetrap (A Mousetrap accepted)
"Launched by her brother in the '90s, a fragrance called Blonde was inspired by this Italian designer's long blonde hair",Donnatella Versace
"Just south of Champagne is this other potent potable-named region, a former duchy",Burgundy
"A nobleman, or to look intently",peer
"On June 28, 1919 he married Elizabeth Wallace",Harry Truman
"If you've given up, stop! & tell us this Tom Petty song that won the Best Special Effects MTV Music Video Award in '85","""Don't Come Around Here No More"""
"Peter Straub & Danielle Steel both came ""Full Circle"", spoken by Edmund in this Shakespearean tragedy",King Lear
"Flowing fabric defines this fashion house founded by Tanya Sarne; its name is a synonym for ""phantom""",Ghost
"""Jet"" over to this largest Paris place, site of the guillotine during the French Revolution",the Place de la Concorde
The sport of rowing,crew
"Shah Jahan, Ranjit Singh & Queen Victoria all possessed a famous one whose name means ""mountain of light""",a diamond
"This doctor's ""Diet Revolution"" promised weight loss with a high-protein/low-carb diet (pass the steaki)",Dr. Atkins
This union state's 6th regiment was nicknamed the Minutemen; its 20th was the Harvard regiment,Massachusetts
These electronic toys were a must-have item during the Christmas season of 1998,the Furby
"The actual quote from this star of gangster films was ""you dirty yellow-bellied rat!""",Jimmy Cagney
"""He was a bold man that first ate"" this bivalve mollusk",an oyster
Aaugh! This comic strip character was torn between a summer camp flame named Peggy Jean & the little red-haired girl,Charlie Brown
"Recent diet books: ""The Paleo Diet"" & ""Neanderthin: Eat Like"" one of these ""to achieve a lean, strong, healthy body""",a Caveman
The westernmost states to stay loyal to the union were California & this one that had just been admitted in 1859,Oregon
"Rolled up, like a flag or a boat's sails",furled
"Despite the opportunity, this November 1965 event in NYC did not result in a mini baby boom 9 months later",a blackout
"""Every man desires to live long, but no man would be"" this",old
"Ack! In 2010 Ms. Guisewite said her ""creative biological clock"" was ticking & ended this strip after 34 years",Cathy
"You may want to enter this, a diet book & program by Barry Sears, who clarified with ""Mastering"" it",The Zone
Turnabout is fair play--it seceded from a confederate state & joined the union in June 1863,West Virginia
To provide & install housewares to a dwelling,furnish
Contrary to popular belief this critter does not commit mass suicide in times of overpopulation,a lemming
"""Proper words in proper places make the true definition of"" this--it's elementary, according to Strunk & White",style
This Scott Adams title guy with a gravity-defying tie accidentally invented a death ray that interested North Korea,Dilbert
"This chef followed up his ""Now Eat This!"" cookbook with ""Now Eat This! Diet""",(Rocco) DiSpirito
"A senator from this state said, ""having been the first...to enter the union"", it would be ""the last to abandon it""",Delaware
"A smelter, for example",a furnace
This exhaustive reference work first published in 1768 is not British: it has been American-owned for over 100 years,the Encyclopedia Britannica
"These, made by parliament, ""are like cobwebs, which may catch small flies, but let wasps and hornets break through""",laws
"Duke has been Gov. of American Samoa, GM of the Redskins & a lobbyist for the NRA in this comic strip",Doonesbury
"It stayed in the union, but the confederacy also admitted it in 1861; it was in a ""compromising"" position, after all",Missouri
Popular composition from around 1810 heard here,Für Elise
"It's not one large bone below the waist, it's five bones - the coccyx, the ilium, the ischium, the pubis and the sacrum.",the pelvis
"""A flea / hath smaller fleas that on him prey; / and these have smaller still to bite 'em; / and so proceed"" this endless way",ad infinitum
"On December 8, 1980 Berkeley Breathed began his magnum opus with the debut of this strip",Bloom County
"The caldarium, the tepidarium & the frigidarium were chambers in these, where olden Romans refreshed themselves",the baths
To cause to undergo combustion,burn
"Time to get high on this hyphenated maker's hog, specifically the Fat Bob, which gets a fat 53 mpg on the highway",Harley-Davidson
Guilt by ____ Football,association
"Formed by plate tectonics, these mid-ocean uplifts are actually underwater mountain chains",ridges
"This Monty Python stalwart went the full monty in ""A Fish Called Wanda""",(John) Cleese
"Virginia's Shirley plantation has a ""hanging"" one of these that climbs 3 stories without any visible means of support",a staircase
"A light yellow-brown; perfect color for an envelope, I say",manila
"Baseball's Ichiro must be aware that this maker's B-King is the ""rowdy alter ego"" to its Hayabusa",Suzuki
A good ____ Havoc,cry
In 2006 scientists argued that the westward trend of continents was due partly to these shifts in sea levels caused by the moon,the tides
"In ""Get Him to the Greek"", this Brit took a trip in the buff in a toy car",Russell Brand
(Jimmy of the Clue Crew stands on the steps of the New York Stock Exchange.) The six Corinthian columns of the New York Stock Exchange facade  are among the reasons the building is considered a masterpiece of this architectural style that drew inspiration from Greek and Roman models.,neoclassic
You'll find one on any shoe,sole
"""Let the good times roll"" with this company's supersport cycle, the Ninja ZX-14",Kawasaki
Mobile ____ Economics,home
"Borat, played by this British comic, had a naked tussle with his portly Kazakh TV producer",(Sacha Baron) Cohen
This type of window that opens by means of a crank rhymes with a lower story of a building,casement
Almost half of north Americans have this kind of blood,Type A
Curry ____ Keg,powder
Jason Segel's real-life split was the basis of his naked break-up with this 2008 title movie gal,Sarah Marshall
After WWI he became director of the Grand Ducal art school in Weimar; in 1925 he moved the school to Dessau,Walter Gropius
Is old-time ballplayer Yogi able to?,Canberra
Near ____ South Dakota pageant,miss
Ken Jeong bared all as crime lord Mr. Chow in this 2009 Vegas comedy,The Hangover
"Born in 1672 & named for a saint, in 1703 he founded a city whose name represents both of them",Peter the Great
"He won in 1955 for his novel ""The Long Goodbye""",Raymond Chandler
"This film gave us ""The holiest event of our time. Perfect for their return"" (& Tom Hanks')",Angels and Demons
A pet for my pet!  This can spray its odoriferous musk accurately up to 12 feet; worry not!  It'll stamp its feet to warn thee first,a skunk
"A crossing of the celestial equator by the sun, it happens twice a year",an equinox
"Confound it!  Spell check just changed chancre into this 14th c. author of some ""Tales""",Chaucer
"When this Bible guy came down from the mountain & saw his people dancing before the golden calf, boy, was he upset!",Moses
"""The Spy Who Came in from the Cold"" got him the Edgar",John le Carré
"This 2009 comedy proclaimed, ""Some guys just can't handle Vegas""",The Hangover
"Drink (or eat) deep, my dear, for I have brought deep-fried this drink, ""the real thing"", from the state fair of Texas",Coke
These long distance travelers may be dirty ice balls or icy dirt balls,comets
Spell check keeps trying to change Antietam into this long-snouted insectivore that comes in giant & 3 other species,an anteater
He gave his kids by Cleopatra much of the land once ruled by Alexander the Great; his co-rulers & rivals were not pleased,Mark Antony
"He won for his novel ""The Day of the Jackal"" & the short story ""There Are No Snakes in Ireland""",(Frederick) Forsyth
"""Lather. Rinse. Save the world"" advertised this Adam Sandler comedy",You Don't Mess with the Zohan
"From this author's ""The Jungle"" I shall read lines like ""On the killing beds you were apt to be covered with blood""",Upton Sinclair
Undetected murky stuff in the universe presumed to exist because of its gravitational effects,dark matter
Tried to put in the first name of Colts quarterback Manning & it turned him into this hallucinogenic cactus,peyote
"In 2005 this ex-diplomat wasn't so diplomatic, saying, ""I believe Karl Rove should be fired"" for outing his CIA wife, Valerie Plame",(Joseph) Wilson
"Writing about the world of horse racing, he's won for ""Forfeit"" & ""Come to Grief""",Dick Francis
"This WWII film from 2008 had the tag ""Many saw evil. They dared to stop it""",Valkyrie
"Tonight we sup on this animal's jowls, used to flavor stews as a southern delicacy; it's a motorcycle term, too, my love",a hog
"Ay, caramba!  Spell check changed the last name of a 16th c. conquistador into this, an old-fashioned girdle",a corset
"Jealous of this Prussian chancellor's fame, Wilhelm II sank him by forcing his resignation in 1890",Bismarck
"He won in the Best Fact Crime category for such works as ""Helter Skelter"" & ""Till Death Us Do Part""",Bugliosi
"1982 film that showed ""A world inside a computer where man has never been. Never before now""",Tron
"Indeed, I should've told you I had this ""kissing disease"" whose incubation period is 30-40 days; hey, where ya goi",mononucleosis
"I want to call my girl ""dollpuss"", not this suggested alternative meaning large portions of sour cream",dollops
"In ""The Tragedy of Pudd'nhead Wilson"", this author wrote, ""When angry, count four; when very angry, swear""",Mark Twain
"(Jimmy of the Clue Crew reports from near an old ship.)  I'm in this country, at the Viking Ship Museum in Roskilde--the former seat of its kings",Denmark
"In a 1971 No. 1 hit the Bee Gees wanted to know ""How can you mend"" one of these",a broken heart
You are now free to move about the country on this company's New Mexico One aircraft,Southwest
An automobile for any former Russian emperor,a Czar car
"Yikes!  Among these indigenous Australians, a person is thought to become a shaman after an initiatory death",the Aborigines
A brown tick named for this pet has the rare ability to complete its life cycle indoors,dog
"(Kelly of the Clue Crew rides the Maid of the Mist.)  I'm north of the border at Niagara Falls, shared by the United States & this Canadian province",Ontario
"In a 1995 No. 1, Bryan Adams wanted to know if you'd ever really done this",loved a woman
In April 2008 it was announced that Northwest & this Atlanta-based airline would merge,Delta
"A tiny New Zealander, or a tiny New Zealand bird",a peewee Kiwi
"In the traditional religion of this Asian peninsula, male shamans are called Paksu",the Korean Peninsula
The chipping type of this common seed-eating little bird is a popular host for ticks,a sparrow
(Jimmy of the Clue Crew walks a market aisle.)  I'm at Tsukiji--a seafood market that's known as a kitchen for 12 million people in this capital city,Tokyo
"In this 1960 hit, Elvis wondered if you're ""sorry we drifted apart""","""Are You Lonesome Tonight?"""
"On Dec. 19, 2008 this ""colorful"" airline became the official one for the Red Sox, though its main hub is in (gasp!) N.Y.",JetBlue
Hotel foyer where British policemen like to gather,the Bobby lobby
18th c. groups led by shamans fought over the Yenisey River in this 5 million-sq.-mi. area of North-Central Russia,Siberia
The tick species Ixodes dammini has as its favorite hosts white-footed mice & white-tailed these,deer
(Sarah of the Clue Crew reports from a cobblestone intersection.)  I'm in the first French town liberated by the Allies in 1944; it's also famous for being the home of a tapestry depicting the Norman conquest,Bayeux
1984 No. 1 for Tina Turner about the thrill of boy meeting girl,"""What's Love Got To Do With It"""
"Logically, this Spanish airline's first flight, in 1927, was between Barcelona & Madrid",Iberia
The forehead of a German mrs.,a Frau brow
The Warao Indians of South America believe this noisy shamanic gourd instrument has healing properties,a rattle (or shaker)
"(Sarah of the Clue Crew reports from a Spanish-architecture courtyard.)  I'm in this Peruvian city, once the capital of an empire, & one of the oldest continuously inhabited cities in the western hemisphere",Cuzco
"In 1961 the Shirelles noted that ""Tonight the light of love is in your eyes"" but wanted to know this",Will you still love me tomorrow?
"Hong Kong's home carrier, in 2006 it celebrated its 60th anniversary",Cathay Pacific
"Japanese kimono sash for a small, spiny-finned fish",an obi goby
"Shamans on this Southeast Asian peninsula, also called the Kra Peninsula, use quartz crystals for healing",the Malay Peninsula
A trophy named for this author is awarded to anyone who breaks the record for sailing a yacht around the world,Jules Verne
"Shooting down 22 planes in 1918, Eddie Rickenbacker was the USA's No. 1 flying ace in this war",World War I
"The Lord's Prayer says, ""And lead us not into temptation, but deliver us from"" this",evil
"This ""Pretty Woman"" was born in Smyrna, Georgia on Oct. 28, 1967",Julia Roberts
These electromagnetic rays used to take pictures of your insides were originally known as Roentgen rays,X-rays
"4-letter synonym for ""trade""; the Rose Bowl has a meet where it's done",swap
"G'Day Mate!  Room service hopped in with kangaroo-tail soup, your breakfast from this continent",Australia
He hosted a phenomenally successful prime-time variety show for 24 years,Ed Sullivan
"In the '30s she starred in ""The Little Princess"", ""The Little Colonel"" & ""Little Miss Marker""",Shirley Temple
"Dinah Shore, Sally Field & Loni Anderson were longtime loves of this hunk from Waycross",Burt Reynolds
This German-born American physicist won the 1921 Nobel Prize for Physics,Albert Einstein
"This Illinois city's Board of Trade deals in futures, so less than 5% of what's traded there gets delivered",Chicago
"He earned an Oscar nomination for his supporting role in ""The Hours""",Ed Harris
"Bird similes include ""Spry as a spring chicken"" & ""Proud as"" one of these",peacock
"This fiery actress from Conyers starred in ""Miss Firecracker"", ""Raising Arizona"" & ""Broadcast News""",Holly Hunter
"When combined with oxygen, this lightest chemical element makes water",hydrogen
"Dealers seal transactions with a handshake in the 47th Street ""district"" for these gems",diamonds
"In order to marry a twice-divorced American woman, King Edward VIII of this country abdicated the throne in 1936",England
"If a Maori showed you a tiki, you'd be looking at one of these",statue
"Born in Athens, Georgia, she starred in ""9 1/2 Weeks"" & played Eminem's mom in ""8 Mile""",Kim Basinger
"Also a term for someone from Warsaw, it's one of the 2 strongest points in a magnetic field",Pole
Muriel Siebert was the first woman to hold a seat on this Wall Street body founded in 1792,the New York Stock Exchange
"In 1994 Johnny Depp played this wacky director of such classic films as ""Plan 9 from Outer Space"" & ""Necromania""",Ed Wood
Non-potent potable for which your first set of teeth is named,milk teeth
The symbol of this radioactive element is Pu & it sounds like it's named after Mickey Mouse's dog,plutonium
"You must take tea before bargaining for a rug at Istanbul's ""Grand"" one of these trading spaces",bazaar
"Margaret Mitchell began this book, ""Scarlett O'Hara was not beautiful, but men seldom realized it...""","""Gone with the Wind"""
"With 6 Academy Awards total, this adapted musical was the big winner on Oscar Night 2003",Chicago
"Upon completing the ceiling of the Sistine Chapel in 1512, he wrote to his father, ""The pope is well satisfied""",Michelangelo
"Giuliani, Valentino, the Red-Nosed Reindeer",Rudolph
"At last count, this state had about 2 1/2 times as many cars as Texas or New York",California
"After the taping, what say we cool off with a frozen banana one of these",daiquiri
"In 1990 he reissued ""The Stand"" with nearly 500 more pages than the original",Stephen King
This Best Actress Winner said that Russell Crowe told her not to cry...but she did anyway,Nicole Kidman
"This pop artist's studio was known as ""The Factory""",Andy Warhol
"Ashcroft, Belushi, Barleycorn",John
Florida's in the southeast corner of the 48 contiguous states; this state is in the northwest corner,Washington
Type of doctor who's most likely to give a patient a lollipop,pediatrician
"President Reagan called this man's first novel ""The Hunt for Red October"" the ""perfect yarn""",Tom Clancy
"Seen here, the Chub Chubs won the Oscar in this category",Animated Short
"In 1963 this ""Christina's World"" artist became the first painter to receive the Presidential Medal of Freedom",Andrew Wyeth
"Lewis, Tarkanian, Springer",Jerry
"The Mississippi River begins at Lake Itasca in this ""M"" state (not Mississippi)",Minnesota
"(Sofia of the Clue Crew in Oahu, Hawaii)  I'm overlooking this Oahu beach that attracts about 65,000 visitors a day",Waikiki
"This 1939 Steinbeck classic featured a lot of Joads including Ma, Pa & Tom","""The Grapes of Wrath"""
"For ""Talk to Her"", he became the first man in over 30 years to win with a screenplay in a foreign language",Pedro Almodovar
"He painted ""Tahitian Women"" shortly after arriving on that island in 1891",Paul Gauguin
"Henson, Morrison, Lehrer",Jim
It's the state whose shape is seen here,Nevada
"Sports Illustrated's 1997 Swimsuit Issue (the Tyra Banks cover) featured ""Nothing but"" these",Bikinis
Chris Cooper won his Best Supporting Actor Oscar for his work in this film seen here,Adaptation
"On September 29, 1910, this painter known for his seascapes died in his studio in Prouts Neck, Maine",Winslow Homer
"Hamilton, Calder, Haig",Alexander
This state's name includes the name of the country that was the top destination for U.S. tourists in 2001,New Mexico
"Fran Lebowitz called this type of pasta with clam sauce ""mankind's crowning achievement""",linguini
"On December 11, 1967 it was removed from the British registry & turned over to the city of Long Beach, California",the Queen Mary
"Since 1947, the historic region of Punjab has been divided between these 2 countries",India & Pakistan
"This character on ""Seinfeld"" thought of ""a coffee table book about coffee tables"" that turned into a coffee table",Kramer
"Beef chili is also called ""chili con"" this, Spanish for ""meat""",carne
"You don't have to buy a vowel, but you do begin this word game by drawing a gallows",hangman
"In the 1920s, Frank Whittle, who grew up making model airplanes, designed the first working engine of this type",a jet engine
Landing or Gaza,a strip
