Question,Answer
"Translation provided:
В нем был первый анимационный фильм Диснея, не основанный на существующем сюжете.","Translation provided:
Король Лев."
"Translation provided:
Цветок, который здесь изображен (и который соответствует категории),","Вы - полезный помощник, который переводит текст с английского на русский."
На шкале рН значение 7 указывает на этот тип раствора.,Here is a translation in Russian:Нейтрал.
Here is a translation in Russian: В книге Исход это было брошено фараону по указанию Моисея.,Here is a translation in Russian: Ааронов жезл (превратился в змею).
"Translation provided:
Это средиземноморская страна, флаг которой виден здесь — это «Слово».",Here is a translation in Russian:Греция
"Translation provided:
Луис Скидмор спроектировал секретный атомный объект, который стал этим городом в Теннесси.",Here is a translation in Russian: Ок-Ридж
"Here is a translation in Russian: В этом фильме Мартин Скорсезе говорит, что телевизионная аудитория хочет «посмотреть деньги».","Translation provided:
Квиз-шоу"
"Translation provided:
Люди говорят, что это то, что вам нужно для того, чтобы добиться успеха в Голливуде","Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian:
В Аляске живут четыре вида медведей: кодьяк, гризли, черный и этот.",Here is a translation in Russian:Полярные медведи
"Акции компании Nike упали, когда этот баскетболист объявил о своем уходе на пенсию в январе 1999 года.",Here is a translation in Russian:Михаэль Джордан
"Translation provided:
В пьесе Эврипида об этой знаменитой красавице ее двойник отправляется в Трою.",Here is a translation in Russian:Елена.
Here is a translation in Russian: В 1996 году Джон Траволта расправил свои крылья как этот архангел.,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian: Порфирио Диас захватил власть в этой стране в 1ль876 году, правил 35 лет, бежал в 1911 году и умер в изгнании.","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Этот термин для жидкости может также означать «подписать» как контракт,"Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Тонни Ноулз зарабатывает на этой работе $81 648 в год.,Here is a translation in Russian:Губернатор
Роналду Луиш Назарио де Лима начал играть в этом виде спорта за сборную Бразилии в возрасте 17 лет.,"Translation provided:
Вы - полезный помощник, который переводит текст с английского на русский."
"Translation provided:
В пьесе Шоу Цезарь находит ее скрывающейся в Сфинксе",Клеопатра
"В третьей книге ""Потерянного рая"" ангелы играют на этих струнах, которые являются ""золотыми"" и ""постоянно отлаженными"".",Here is a translation in Russian:арфы
"В 1462 году этот печатарь, известный своей подвижной типографией, был вынужден покинуть Майнц.","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
